treat_cond,prop_teammates_other_caste,prop_opponents_other_caste,baseline_prop_other_caste_nbrs,baseline_bowl_test_speed,n_other_caste_friends,n_other_caste_future_friends,bins_teammates_other_caste,bins_opponents_other_caste,bin_midpoint_opponents
team_hom,0,0.625,0.5357142686843872,80,2,5,NA,"(0.575,0.625]",0.615526324824283
team_hom,0,0.75,0.6567164063453674,82,8,9,NA,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0,84,2,6,NA,NA,NA
team_mix,1,0.75,0,78,3,9,75-100%,"(0.725,0.775]",0.7600446332778249
team_mix,0.25,0.75,0.16129031777381897,102,0,1,0-25%,"(0.725,0.775]",0.7600446332778249
team_hom,0,0.675000011920929,0.47826087474823,80,9,10,NA,"(0.65,0.675]",0.675000011920929
team_mix,1,0.550000011920929,0.261904776096344,91,1,1,75-100%,"(0.525,0.575]",0.5640410944207074
control,NA,NA,0,80,0,3,NA,NA,NA
team_mix,0.5,0.6000000238418579,0.4000000059604645,83,3,5,25-50%,"(0.575,0.625]",0.615526324824283
control,NA,NA,0.261904776096344,85,0,1,NA,NA,NA
team_mix,0.75,0.6499999761581421,0.261904776096344,93,0,7,50-75%,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.40740740299224854,82,3,4,NA,NA,NA
control,NA,NA,0.703125,80,1,7,NA,NA,NA
team_mix,0.75,0.7749999761581421,0.40740740299224854,71,0,7,50-75%,"(0.725,0.775]",0.7600446332778249
control,NA,NA,0.47058823704719543,77,2,10,NA,NA,NA
control,NA,NA,0,90,3,6,NA,NA,NA
control,NA,NA,0.7307692170143127,101,1,6,NA,NA,NA
control,NA,NA,0.3181818127632141,66,0,0,NA,NA,NA
team_hom,0,0.824999988079071,0.40740740299224854,74,0,9,NA,"(0.8,0.975]",0.8523437511175871
team_hom,0,0.675000011920929,0.4571428596973419,99,0,11,NA,"(0.65,0.675]",0.675000011920929
team_hom,0,0.875,0.5714285969734192,76,3,8,NA,"(0.8,0.975]",0.8523437511175871
control,NA,NA,0.36666667461395264,92,NA,NA,NA,NA,NA
team_mix,1,0.7749999761581421,0.35483869910240173,75,NA,NA,75-100%,"(0.725,0.775]",0.7600446332778249
team_mix,0.75,0.5249999761581421,0.16129031777381897,73,0,0,50-75%,"(0.35,0.525]",0.49381187086058137
team_mix,1,0.6499999761581421,0.5357142686843872,67,5,8,75-100%,"(0.625,0.65]",0.6499999761581421
control,NA,NA,0.40740740299224854,84,0,1,NA,NA,NA
control,NA,NA,0.6567164063453674,96,0,3,NA,NA,NA
control,NA,NA,0.16129031777381897,97,0,0,NA,NA,NA
